V1,climate_change_affects,samp,samp2,bootstrap
1,Yes,6,42,34
2,Yes,"","",41
3,Yes,"","",33
4,Yes,"","",39
5,Yes,"","",38
6,Yes,"","",43
7,Yes,"","",31
8,Yes,"","",35
9,Yes,"","",38
10,Yes,"","",38
11,Yes,"","",36
12,Yes,"","",43
13,Yes,"","",42
14,Yes,"","",40
15,Yes,"","",44
16,Yes,"","",38
17,Yes,"","",39
18,Yes,"","",37
19,Yes,"","",37
20,Yes,"","",40
21,Yes,"","",37
22,Yes,"","",41
23,Yes,"","",38
24,Yes,"","",35
25,Yes,"","",40
26,Yes,"","",38
27,Yes,"","",33
28,Yes,"","",43
29,Yes,"","",38
30,Yes,"","",40
31,Yes,"","",42
32,Yes,"","",36
33,Yes,"","",36
34,Yes,"","",39
35,Yes,"","",40
36,Yes,"","",35
37,Yes,"","",35
38,Yes,"","",42
39,Yes,"","",36
40,Yes,"","",34
41,Yes,"","",36
42,Yes,"","",39
43,Yes,"","",36
44,Yes,"","",35
45,Yes,"","",42
46,Yes,"","",34
47,Yes,"","",39
48,Yes,"","",42
49,Yes,"","",30
50,Yes,"","",33
51,Yes,"","",34
52,Yes,"","",31
53,Yes,"","",27
54,Yes,"","",32
55,Yes,"","",33
56,Yes,"","",34
57,Yes,"","",33
58,Yes,"","",39
59,Yes,"","",38
60,Yes,"","",34
61,Yes,"","",36
62,Yes,"","",37
63,Yes,"","",34
64,Yes,"","",37
65,Yes,"","",36
66,Yes,"","",39
67,Yes,"","",42
68,Yes,"","",33
69,Yes,"","",38
70,Yes,"","",40
71,Yes,"","",37
72,Yes,"","",43
73,Yes,"","",39
74,Yes,"","",36
75,Yes,"","",37
76,Yes,"","",34
77,Yes,"","",39
78,Yes,"","",37
79,Yes,"","",36
80,Yes,"","",34
81,Yes,"","",40
82,Yes,"","",50
83,Yes,"","",35
84,Yes,"","",39
85,Yes,"","",37
86,Yes,"","",32
87,Yes,"","",42
88,Yes,"","",38
89,Yes,"","",38
90,Yes,"","",34
91,Yes,"","",37
92,Yes,"","",32
93,Yes,"","",46
94,Yes,"","",32
95,Yes,"","",37
96,Yes,"","",39
97,Yes,"","",36
98,Yes,"","",37
99,Yes,"","",35
100,Yes,"","",35
101,Yes,"","",39
102,Yes,"","",38
103,Yes,"","",37
104,Yes,"","",36
105,Yes,"","",44
106,Yes,"","",36
107,Yes,"","",26
108,Yes,"","",39
109,Yes,"","",41
110,Yes,"","",40
111,Yes,"","",41
112,Yes,"","",36
113,Yes,"","",38
114,Yes,"","",45
115,Yes,"","",36
116,Yes,"","",44
117,Yes,"","",30
118,Yes,"","",38
119,Yes,"","",31
120,Yes,"","",37
121,Yes,"","",36
122,Yes,"","",35
123,Yes,"","",43
124,Yes,"","",40
125,Yes,"","",35
126,Yes,"","",35
127,Yes,"","",39
128,Yes,"","",38
129,Yes,"","",41
130,Yes,"","",36
131,Yes,"","",41
132,Yes,"","",32
133,Yes,"","",39
134,Yes,"","",33
135,Yes,"","",40
136,Yes,"","",38
137,Yes,"","",38
138,Yes,"","",39
139,Yes,"","",39
140,Yes,"","",39
141,Yes,"","",38
142,Yes,"","",38
143,Yes,"","",39
144,Yes,"","",33
145,Yes,"","",36
146,Yes,"","",43
147,Yes,"","",41
148,Yes,"","",39
149,Yes,"","",42
150,Yes,"","",34
151,Yes,"","",45
152,Yes,"","",37
153,Yes,"","",39
154,Yes,"","",37
155,Yes,"","",42
156,Yes,"","",40
157,Yes,"","",39
158,Yes,"","",37
159,Yes,"","",33
160,Yes,"","",40
161,Yes,"","",42
162,Yes,"","",35
163,Yes,"","",41
164,Yes,"","",30
165,Yes,"","",36
166,Yes,"","",39
167,Yes,"","",38
168,Yes,"","",41
169,Yes,"","",32
170,Yes,"","",36
171,Yes,"","",43
172,Yes,"","",40
173,Yes,"","",36
174,Yes,"","",43
175,Yes,"","",46
176,Yes,"","",39
177,Yes,"","",33
178,Yes,"","",38
179,Yes,"","",36
180,Yes,"","",33
181,Yes,"","",36
182,Yes,"","",34
183,Yes,"","",29
184,Yes,"","",40
185,Yes,"","",37
186,Yes,"","",37
187,Yes,"","",32
188,Yes,"","",35
189,Yes,"","",37
190,Yes,"","",41
191,Yes,"","",34
192,Yes,"","",41
193,Yes,"","",34
194,Yes,"","",39
195,Yes,"","",40
196,Yes,"","",36
197,Yes,"","",37
198,Yes,"","",39
199,Yes,"","",32
200,Yes,"","",39
201,Yes,"","",36
202,Yes,"","",37
203,Yes,"","",42
204,Yes,"","",41
205,Yes,"","",38
206,Yes,"","",35
207,Yes,"","",41
208,Yes,"","",38
209,Yes,"","",36
210,Yes,"","",42
211,Yes,"","",35
212,Yes,"","",27
213,Yes,"","",34
214,Yes,"","",43
215,Yes,"","",40
216,Yes,"","",33
217,Yes,"","",42
218,Yes,"","",33
219,Yes,"","",43
220,Yes,"","",39
221,Yes,"","",34
222,Yes,"","",39
223,Yes,"","",46
224,Yes,"","",39
225,Yes,"","",41
226,Yes,"","",35
227,Yes,"","",45
228,Yes,"","",40
229,Yes,"","",37
230,Yes,"","",41
231,Yes,"","",43
232,Yes,"","",42
233,Yes,"","",39
234,Yes,"","",32
235,Yes,"","",36
236,Yes,"","",37
237,Yes,"","",36
238,Yes,"","",32
239,Yes,"","",34
240,Yes,"","",44
241,Yes,"","",41
242,Yes,"","",39
243,Yes,"","",37
244,Yes,"","",40
245,Yes,"","",36
246,Yes,"","",39
247,Yes,"","",34
248,Yes,"","",39
249,Yes,"","",40
250,Yes,"","",39
251,Yes,"","",32
252,Yes,"","",34
253,Yes,"","",48
254,Yes,"","",37
255,Yes,"","",37
256,Yes,"","",36
257,Yes,"","",39
258,Yes,"","",45
259,Yes,"","",38
260,Yes,"","",35
261,Yes,"","",29
262,Yes,"","",39
263,Yes,"","",35
264,Yes,"","",34
265,Yes,"","",37
266,Yes,"","",38
267,Yes,"","",35
268,Yes,"","",35
269,Yes,"","",37
270,Yes,"","",42
271,Yes,"","",33
272,Yes,"","",37
273,Yes,"","",41
274,Yes,"","",34
275,Yes,"","",39
276,Yes,"","",39
277,Yes,"","",35
278,Yes,"","",38
279,Yes,"","",33
280,Yes,"","",37
281,Yes,"","",35
282,Yes,"","",42
283,Yes,"","",34
284,Yes,"","",40
285,Yes,"","",37
286,Yes,"","",41
287,Yes,"","",33
288,Yes,"","",43
289,Yes,"","",32
290,Yes,"","",36
291,Yes,"","",44
292,Yes,"","",34
293,Yes,"","",34
294,Yes,"","",37
295,Yes,"","",37
296,Yes,"","",35
297,Yes,"","",40
298,Yes,"","",35
299,Yes,"","",38
300,Yes,"","",37
301,Yes,"","",35
302,Yes,"","",38
303,Yes,"","",39
304,Yes,"","",42
305,Yes,"","",38
306,Yes,"","",35
307,Yes,"","",47
308,Yes,"","",40
309,Yes,"","",41
310,Yes,"","",38
311,Yes,"","",32
312,Yes,"","",39
313,Yes,"","",33
314,Yes,"","",42
315,Yes,"","",36
316,Yes,"","",33
317,Yes,"","",36
318,Yes,"","",39
319,Yes,"","",38
320,Yes,"","",35
321,Yes,"","",38
322,Yes,"","",39
323,Yes,"","",34
324,Yes,"","",36
325,Yes,"","",36
326,Yes,"","",40
327,Yes,"","",33
328,Yes,"","",34
329,Yes,"","",39
330,Yes,"","",38
331,Yes,"","",36
332,Yes,"","",41
333,Yes,"","",30
334,Yes,"","",31
335,Yes,"","",41
336,Yes,"","",40
337,Yes,"","",38
338,Yes,"","",39
339,Yes,"","",34
340,Yes,"","",38
341,Yes,"","",35
342,Yes,"","",41
343,Yes,"","",41
344,Yes,"","",36
345,Yes,"","",27
346,Yes,"","",40
347,Yes,"","",40
348,Yes,"","",39
349,Yes,"","",45
350,Yes,"","",35
351,Yes,"","",38
352,Yes,"","",41
353,Yes,"","",36
354,Yes,"","",38
355,Yes,"","",35
356,Yes,"","",32
357,Yes,"","",30
358,Yes,"","",41
359,Yes,"","",29
360,Yes,"","",35
361,Yes,"","",32
362,Yes,"","",35
363,Yes,"","",37
364,Yes,"","",39
365,Yes,"","",41
366,Yes,"","",34
367,Yes,"","",41
368,Yes,"","",34
369,Yes,"","",31
370,Yes,"","",35
371,Yes,"","",45
372,Yes,"","",36
373,Yes,"","",35
374,Yes,"","",38
375,Yes,"","",29
376,Yes,"","",38
377,Yes,"","",32
378,Yes,"","",39
379,Yes,"","",33
380,Yes,"","",35
381,Yes,"","",42
382,Yes,"","",38
383,Yes,"","",37
384,Yes,"","",36
385,Yes,"","",42
386,Yes,"","",41
387,Yes,"","",37
388,Yes,"","",30
389,Yes,"","",33
390,Yes,"","",34
391,Yes,"","",41
392,Yes,"","",32
393,Yes,"","",37
394,Yes,"","",33
395,Yes,"","",37
396,Yes,"","",37
397,Yes,"","",34
398,Yes,"","",35
399,Yes,"","",36
400,Yes,"","",34
401,Yes,"","",44
402,Yes,"","",40
403,Yes,"","",38
404,Yes,"","",40
405,Yes,"","",40
406,Yes,"","",42
407,Yes,"","",36
408,Yes,"","",36
409,Yes,"","",30
410,Yes,"","",29
411,Yes,"","",40
412,Yes,"","",44
413,Yes,"","",34
414,Yes,"","",35
415,Yes,"","",35
416,Yes,"","",38
417,Yes,"","",39
418,Yes,"","",37
419,Yes,"","",33
420,Yes,"","",36
421,Yes,"","",40
422,Yes,"","",41
423,Yes,"","",33
424,Yes,"","",38
425,Yes,"","",35
426,Yes,"","",37
427,Yes,"","",35
428,Yes,"","",28
429,Yes,"","",37
430,Yes,"","",38
431,Yes,"","",33
432,Yes,"","",36
433,Yes,"","",44
434,Yes,"","",31
435,Yes,"","",38
436,Yes,"","",33
437,Yes,"","",34
438,Yes,"","",36
439,Yes,"","",39
440,Yes,"","",42
441,Yes,"","",42
442,Yes,"","",45
443,Yes,"","",29
444,Yes,"","",34
445,Yes,"","",27
446,Yes,"","",34
447,Yes,"","",35
448,Yes,"","",39
449,Yes,"","",44
450,Yes,"","",34
451,Yes,"","",40
452,Yes,"","",34
453,Yes,"","",38
454,Yes,"","",38
455,Yes,"","",38
456,Yes,"","",38
457,Yes,"","",36
458,Yes,"","",38
459,Yes,"","",31
460,Yes,"","",36
461,Yes,"","",36
462,Yes,"","",41
463,Yes,"","",35
464,Yes,"","",35
465,Yes,"","",36
466,Yes,"","",35
467,Yes,"","",44
468,Yes,"","",34
469,Yes,"","",39
470,Yes,"","",41
471,Yes,"","",37
472,Yes,"","",42
473,Yes,"","",46
474,Yes,"","",39
475,Yes,"","",45
476,Yes,"","",34
477,Yes,"","",35
478,Yes,"","",38
479,Yes,"","",41
480,Yes,"","",42
481,Yes,"","",39
482,Yes,"","",42
483,Yes,"","",34
484,Yes,"","",40
485,Yes,"","",28
486,Yes,"","",42
487,Yes,"","",36
488,Yes,"","",39
489,Yes,"","",39
490,Yes,"","",36
491,Yes,"","",40
492,Yes,"","",31
493,Yes,"","",37
494,Yes,"","",38
495,Yes,"","",38
496,Yes,"","",44
497,Yes,"","",42
498,Yes,"","",37
499,Yes,"","",34
500,Yes,"","",36
501,Yes,"","",38
502,Yes,"","",37
503,Yes,"","",42
504,Yes,"","",37
505,Yes,"","",35
506,Yes,"","",40
507,Yes,"","",34
508,Yes,"","",35
509,Yes,"","",36
510,Yes,"","",42
511,Yes,"","",38
512,Yes,"","",38
513,Yes,"","",33
514,Yes,"","",32
515,Yes,"","",34
516,Yes,"","",38
517,Yes,"","",39
518,Yes,"","",38
519,Yes,"","",35
520,Yes,"","",35
521,Yes,"","",34
522,Yes,"","",35
523,Yes,"","",31
524,Yes,"","",38
525,Yes,"","",40
526,Yes,"","",34
527,Yes,"","",38
528,Yes,"","",37
529,Yes,"","",40
530,Yes,"","",39
531,Yes,"","",40
532,Yes,"","",34
533,Yes,"","",40
